CCNC,NCBI:892
CCND2,NCBI:894
CCND2P1,NCBI:895
CCND3,NCBI:896
CCND3P1,NCBI:897
CCNE1,NCBI:898
CCNF,NCBI:899
CCNG1,NCBI:900
CCNG2,NCBI:901
CCNH,NCBI:902
CCNT1,NCBI:904
CCNT2,NCBI:905
CCT,NCBI:907
CCT6A,NCBI:908
CD1A,NCBI:909
CD1B,NCBI:910
CD1C,NCBI:911
CD1D,NCBI:912
CD1E,NCBI:913
CD2,NCBI:914
CD3D,NCBI:915
CD3E,NCBI:916
CD3G,NCBI:917
CD247,NCBI:919
CD4,NCBI:920
CD5,NCBI:921
CD5L,NCBI:922
CD6,NCBI:923
CD7,NCBI:924
CD8A,NCBI:925
CD8B,NCBI:926
CD8B2,NCBI:927
CD9,NCBI:928
CD14,NCBI:929
CD19,NCBI:930
MS4A1,NCBI:931
MS4A3,NCBI:932
CD22,NCBI:933
CD24P1,NCBI:935
CD24P2,NCBI:936
CD24P3,NCBI:937
CD24P4,NCBI:938
CD27,NCBI:939
CD28,NCBI:940
CD80,NCBI:941
CD86,NCBI:942
TNFRSF8,NCBI:943
TNFSF8,NCBI:944
CD33,NCBI:945
SIGLEC6,NCBI:946
CD34,NCBI:947
CD36,NCBI:948
SCARB1,NCBI:949
SCARB2,NCBI:950
CD37,NCBI:951
CD38,NCBI:952
ENTPD1,NCBI:953
ENTPD2,NCBI:954
ENTPD6,NCBI:955
ENTPD3,NCBI:956
ENTPD5,NCBI:957
CD40,NCBI:958
CD40LG,NCBI:959
CD44,NCBI:960
CD47,NCBI:961
CD48,NCBI:962
CD53,NCBI:963
CD58,NCBI:965
CD59,NCBI:966
CD63,NCBI:967
CD68,NCBI:968
CD69,NCBI:969
CD70,NCBI:970
CD72,NCBI:971
CD74,NCBI:972
CD79A,NCBI:973
CD79B,NCBI:974
CD81,NCBI:975
ADGRE5,NCBI:976
CD151,NCBI:977
CDA,NCBI:978
CDAN3,NCBI:981
CDB2,NCBI:982
CDK1,NCBI:983
CDK11B,NCBI:984
LRBA,NCBI:987
CDC5L,NCBI:988
SEPTIN7,NCBI:989
CDC6,NCBI:990
CDC20,NCBI:991
CDC25A,NCBI:993
CDC25B,NCBI:994
CDC25C,NCBI:995
CDC27,NCBI:996
CDC34,NCBI:997
CDC42,NCBI:998
CDH1,NCBI:999
CDH2,NCBI:1000
CDH3,NCBI:1001
CDH4,NCBI:1002
CDH5,NCBI:1003
CDH6,NCBI:1004
CDH7,NCBI:1005
CDH8,NCBI:1006
CDH9,NCBI:1007
CDH10,NCBI:1008
CDH11,NCBI:1009
CDH12,NCBI:1010
CDH12P2,NCBI:1011
CDH13,NCBI:1012
CDH15,NCBI:1013
CDH16,NCBI:1014
CDH17,NCBI:1015
CDH18,NCBI:1016
CDK2,NCBI:1017
CDK3,NCBI:1018
CDK4,NCBI:1019
CDK5,NCBI:1020
CDK6,NCBI:1021
CDK7,NCBI:1022
CDK8,NCBI:1024
CDK9,NCBI:1025
CDKN1A,NCBI:1026
CDKN1B,NCBI:1027
CDKN1C,NCBI:1028
CDKN2A,NCBI:1029
