# CSV generated from:L
# https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-018-04647-1/MediaObjects/41467_2018_4647_MOESM4_ESM.xlsx
# Supplementary Data 1. Experimentally identified gold standard SL interactions,,,,,,
# ,,,,,,
gene1,gene2,gene1 perturbation,gene2 perturbation,PMID,cancer type tested,SL
MUS81,HOXA5,mut,shRNA,24104479,COAD,0
MUS81,VDAC1,mut,shRNA,24104479,COAD,0
MUS81,AMPH,mut,shRNA,24104479,COAD,0
MUS81,PTX3,mut,shRNA,24104479,COAD,0
MUS81,SRGN,mut,shRNA,24104479,COAD,0
MUS81,MELK,mut,shRNA,24104479,COAD,0
MUS81,RRBP1,mut,shRNA,24104479,COAD,0
MUS81,TTR,mut,shRNA,24104479,COAD,0
MUS81,DNAJC12,mut,shRNA,24104479,COAD,0
MUS81,GRIN2A,mut,shRNA,24104479,COAD,0
MUS81,THBD,mut,shRNA,24104479,COAD,0
MUS81,NUP88,mut,shRNA,24104479,COAD,0
MUS81,WIF1,mut,shRNA,24104479,COAD,0
MUS81,F13B,mut,shRNA,24104479,COAD,0
MUS81,SH3BP5L,mut,shRNA,24104479,COAD,1
MUS81,GATAD1,mut,shRNA,24104479,COAD,0
MUS81,TRAK1,mut,shRNA,24104479,COAD,0
MUS81,PCK2,mut,shRNA,24104479,COAD,0
MUS81,4-Mar,mut,shRNA,24104479,COAD,0
MUS81,FOXRED2,mut,shRNA,24104479,COAD,1
MUS81,COPZ1,mut,shRNA,24104479,COAD,1
MUS81,PRR5,mut,shRNA,24104479,COAD,0
MUS81,FRY,mut,shRNA,24104479,COAD,0
MUS81,GYPE,mut,shRNA,24104479,COAD,0
MUS81,RPS6KC1,mut,shRNA,24104479,COAD,0
MUS81,ZNF526,mut,shRNA,24104479,COAD,0
MUS81,ZYG11A,mut,shRNA,24104479,COAD,0
MUS81,GZMH,mut,shRNA,24104479,COAD,0
MUS81,NUP54,mut,shRNA,24104479,COAD,1
MUS81,GTF3C4,mut,shRNA,24104479,COAD,1
MUS81,ANKRD13B,mut,shRNA,24104479,COAD,0
MUS81,SYF2,mut,shRNA,24104479,COAD,0
